FileID	Label
p21242-s001_UM5-RJB-RUF_cnt_wFB_Mmul10  RJB.RUF
p21242-s002_UM5-RPO17-RUB18_cnt_wFB_Mmul10  RPO17.RUB18
p21242-s003_UM5-RIG18-RTM18_cnt_wFB_Mmul10  RIG18.RTM18
p21242-s004_UM5-Ryr18-RCW18_cnt_wFB_Mmul10  Ryr18.RCW18
p21242-s005_UM5-072_Rsc17-RFA17_cnt_wFB_Mmul10  Rsc17.RFA17
p21242-s006_UM5-Rnc18-Rut17_cnt_wFB_Mmul10  Rnc18.Rut17
p21242-s007_UM5-RWG18-RS018_cnt_wFB_Mmul10  RWG18.RS018
p21242-s008_UM5-G2-RPQ18-RYV18_cnt_wFB_Mmul10 RPQ18.RYV18
p21242-s009_UM5-G3-REE17-RWM17_cnt_wFB_Mmul10 REE17.RWM17
p21242-s010_UM5-G3-RMA18-RTF18_cnt_wFB_Mmul10 RMA18.RTF18
p21242-s011_UM5-G3-RET18-RFM8_cnt_wFB_Mmul10  RET18.RFM8
p21242-s012_UM5-G3-RIS18-RNY18_cnt_wFB_Mmul10 RIS18.RNY18
p21242-s013_capturefail-UM5-G4-RLS14-RTY15_cnt_wFB_Mmul10 RLS14.RTY15.FAIL
p21242-s014_repeat_UM5-G4-RLS14-RTY15_cnt_wFB_Mmul10  RLS14.RTY15
p21242-s015_UM-G4-13D-132-33962_cnt_wFB_Mmul10  13D.132.33962
