GROUP,ANIMAL CODE,CHALLENGE PEPTIDE,HASH TAG
DMC-IM,RJb17 R,p11c,4
DMC-IM,RUf17 R,p11c,5
DMC-IM,RPo17 R,OVA,4
DMC-IM,RUb18 R,OVA,5
DMC-IM,RIg18 R,OVA,4
DMC-IM,RTm18 R,OVA,5
DMC-IM,RYr18 R,p11c,4
DMC-IM,RCw18 R,p11c,5
DMC-IV,RJc17 R,OVA,4
DMC-IV,RFg17 R,OVA,5
DMC-IV,RUt17 R,p11c,4
DMC-IV,RNc18 R,p11c,5
DMC-IV,RWg18 R,OVA,4
DMC-IV,RSo18 R,OVA,5
DMC-IV,RPq18 R,p11c,4
DMC-IV,RYv18 R,p11c,5
HVV-IV,REe17 R,OVA,4
HVV-IV,RWm17 R,OVA,5
HVV-IV,RMa18 R,p11c,4
HVV-IV,RTf18   R,p11c,5
HVV-IV,REi18   R,p11c,4
HVV-IV,RFn18   R,p11c,5
HVV-IV,RIs18   R,OVA,4
HVV-IV,RNy18 R,OVA,5
PROTEIN ONLY,RLs14 R,p11c,4
PROTEIN ONLY,RTy15 R,p11c,5
PROTEIN ONLY,13D132 R,no challenge,5
PROTEIN ONLY,33967 R,no challenge,4
